Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"177259184676",Profilo Macy's Gruppo GFT Men's Charcoal 100% Wool Blazer Jacket 2-button Notch ,,,"1","FIXED_PRICE","USD",49.99,,,49.99,"0","","","Jul-15-25 10:12:01 PDT","Nov-15-25 10:12:01 PST","Suits & Suit Separates","3001","","","Pre-owned - Excellent","","","","","","US","","",""
"177259213494",Relibeauty Girl's US Size 5-6 Light Blue Snow Queen Dress Costume With Train,,,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","1","","Jul-15-25 10:24:01 PDT","Nov-15-25 10:24:01 PST","Girls","80914","","","Pre-owned - Excellent","","","","","","US","","",""
"177259240467",Solid Wood Building Blocks Toy Set 147 Pieces Various Shapes & Characters,,,"1","FIXED_PRICE","USD",22.99,,,22.99,"0","1","","Jul-16-25 08:47:01 PDT","Nov-16-25 08:47:01 PST","Building Toy Complete Sets & Packs","258040","","","Used","","","","","","US","","",""
"177259254226",MIXED Peg-style DUPLO-sized Brick Lot 85 PC Plastic Bricks & Connectors ,,,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","","","Jul-14-25 07:56:01 PDT","Nov-14-25 07:56:01 PST","Building Toy Complete Sets & Packs","258040","","","Used","","","","","","US","","",""
"177285875689",Corkcicle 12oz Insulated Stemless Wine Tumbler Silicone Bottom Powder Puff Pink,,Lot 1 boxed,"1","FIXED_PRICE","USD",12.75,,,12.75,"0","1","","Jul-22-25 13:24:19 PDT","Nov-22-25 13:24:19 PST","Glassware & Drinkware","20696","","","Used","","","","","","US","","",""
"177285898693",Official Nintendo Super Mario GOOMBA Plush Backpack Adjustable Straps,,Lot 4 A Packed,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","1","","Jul-23-25 07:35:01 PDT","Nov-23-25 07:35:01 PST","Other Stuffed Animals","230","","","Used","","","","","","US","","",""
"177285922070","Paw Patrol ""Chase"" Plush Cuddle Pillow With Detachable Strap- Hugs!",,Lot 4B Packed,"1","FIXED_PRICE","USD",14.0,,,14.0,"0","","","Jul-23-25 19:50:01 PDT","Oct-23-25 19:50:01 PDT","Other Stuffed Animals","230","","","Used","","","","","","US","","",""
"177285968007",Black Floral Lace Long Sleeve Midi Dress W/Ribbon Sash Girls Sz 6-7,,Lot 4C Packed,"1","FIXED_PRICE","USD",20.0,,,20.0,"0","","","Jul-24-25 05:21:01 PDT","Oct-24-25 05:21:01 PDT","Dresses","51581","","","Pre-owned - Excellent","","","","","","US","","",""
"177286030517",Purple & White Tulle Dress With Butterfly Appliqués And Bow Girl's Size 5,,Lot 4 D Packed,"1","FIXED_PRICE","USD",11.0,,,11.0,"0","0","","Jul-25-25 15:53:01 PDT","Oct-25-25 15:53:01 PDT","Dresses","51581","","","Pre-owned - Excellent","","","","","","US","","",""
"177292704205","Disney Encanto Singing Mirabel Doll, Interactive-Outfit & Shoes-WORKS!",,,"1","FIXED_PRICE","USD",11.89,,,11.89,"0","3","","Jul-27-25 13:00:01 PDT","Oct-27-25 13:00:01 PDT","Dolls & Doll Playsets","262346","","","Used","","","","","","US","","",""
